# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
10            	-2.017732e+01	-3.899582e+01	-1.666542e+01	-2.851002e+01	1.184461e+01
20            	4.214373e+00	7.038304e+00	5.374184e+00	6.901465e+00	-1.527281e+00
30            	7.471505e-01	1.859405e+00	3.849096e+00	2.671698e+00	1.177398e+00
40            	1.611822e+00	2.488057e+00	3.733575e+00	3.478610e+00	2.549659e-01
50            	1.635041e+00	2.104995e+00	3.801923e+00	3.536003e+00	2.659203e-01
60            	1.636604e+00	1.995630e+00	3.840684e+00	3.556946e+00	2.837385e-01
70            	1.665277e+00	1.898317e+00	3.971842e+00	3.651198e+00	3.206440e-01
80            	1.696707e+00	1.759913e+00	4.032775e+00	3.713095e+00	3.196804e-01
90            	1.754360e+00	1.692544e+00	4.186882e+00	3.847801e+00	3.390808e-01
100           	1.805016e+00	1.603740e+00	4.272587e+00	3.941310e+00	3.312770e-01
110           	1.843018e+00	1.539896e+00	4.361805e+00	4.023921e+00	3.378843e-01
120           	1.876503e+00	1.482345e+00	4.419392e+00	4.086198e+00	3.331932e-01
130           	1.909505e+00	1.441152e+00	4.493112e+00	4.156061e+00	3.370509e-01
140           	1.931987e+00	1.395761e+00	4.534106e+00	4.199040e+00	3.350654e-01
150           	1.952551e+00	1.368235e+00	4.582259e+00	4.243681e+00	3.385784e-01
160           	1.968821e+00	1.340794e+00	4.613435e+00	4.275538e+00	3.378971e-01
170           	1.982250e+00	1.316522e+00	4.644286e+00	4.304393e+00	3.398930e-01
180           	1.991004e+00	1.296655e+00	4.662929e+00	4.322468e+00	3.404610e-01
190           	1.997982e+00	1.281150e+00	4.680954e+00	4.338459e+00	3.424953e-01
200           	2.000977e+00	1.264848e+00	4.689248e+00	4.345601e+00	3.436466e-01
210           	2.000598e+00	1.251968e+00	4.690949e+00	4.346072e+00	3.448771e-01
220           	1.997011e+00	1.236883e+00	4.682369e+00	4.338196e+00	3.441731e-01
